sitting_date,no,name,role,constituency,category,status
2026-03-03,1,Tan Sri Dato’ Dr. Johari bin Abdul,Yang di-Pertua Dewan Rakyat,,Ahli Parlimen,Hadir
2026-03-03,2,Dato’ Seri Anwar bin Ibrahim,Perdana Menteri dan Menteri Kewangan,Tambun,Ahli Parlimen,Hadir
2026-03-03,3,Dato’ Amar Haji Fadillah bin Yusof,Timbalan Perdana Menteri dan Menteri Peralihan Tenaga dan Transformasi Air,Petra Jaya,Ahli Parlimen,Hadir
2026-03-03,4,Tuan Loke Siew Fook,Menteri Pengangkutan,Seremban,Ahli Parlimen,Hadir
2026-03-03,5,Datuk Seri Haji Mohamad bin Sabu,Menteri Pertanian dan Keterjaminan Makanan,Kota Raja,Ahli Parlimen,Hadir
2026-03-03,6,Datuk Ahmad Fahmi bin Mohamed Fadzil,Menteri Komunikasi,Lembah Pantai,Ahli Parlimen,Hadir
2026-03-03,7,Datuk Aaron Ago Dagang,Menteri Perpaduan Negara,Kanowit,Ahli Parlimen,Hadir
2026-03-03,8,Dato’ Sri Azalina Othman Said,Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),Pengerang,Ahli Parlimen,Hadir
2026-03-03,9,Puan Hannah Yeoh,Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan),Segambut,Ahli Parlimen,Hadir
2026-03-03,10,Tuan Gobind Singh Deo,Menteri Digital,Damansara,Ahli Parlimen,Hadir
2026-03-03,11,Datuk Seri Dr. Haji Dzulkefly bin Ahmad,Menteri Kesihatan,Kuala Selangor,Ahli Parlimen,Hadir
2026-03-03,12,Tuan Haji Akmal Nasrullah bin Haji Mohd Nasir,Menteri Ekonomi,Johor Bahru,Ahli Parlimen,Hadir
2026-03-03,13,Dato Sri Tiong King Sing,"Menteri Pelancongan, Seni dan Budaya",Bintulu,Ahli Parlimen,Hadir
2026-03-03,14,Datuk Ts. Mustapha Sakmud,Menteri di Jabatan Perdana Menteri (Sabah dan Sarawak),Sepanggar,Ahli Parlimen,Hadir
2026-03-03,15,Dr. Mohammed Taufiq bin Johari,Menteri Belia dan Sukan,Sungai Petani,Ahli Parlimen,Hadir
2026-03-03,16,Datuk Chan Foong Hin,Timbalan Menteri Pertanian dan Keterjaminan Makanan,Kota Kinabalu,Ahli Parlimen,Hadir
2026-03-03,17,Dato' Sri Haji Abdul Rahman bin Mohamad,Timbalan Menteri Peralihan Tenaga dan Tranformasi Air,Lipis,Ahli Parlimen,Hadir
2026-03-03,18,Dato’ Dr. Ramli bin Dato’ Mohd Nor,Timbalan Yang di-Pertua Dewan Rakyat,Cameron Highlands,Ahli Parlimen,Hadir
2026-03-03,19,Puan Alice Lau Kiong Yieng,Timbalan Yang di-Pertua Dewan Rakyat,Lanang,Ahli Parlimen,Hadir
2026-03-03,20,Dato' Seri Utama Haji Mohamad bin Haji Hasan,Menteri Luar Negeri,Rembau,Ahli Parlimen,Hadir
2026-03-03,21,Datuk Seri Johari bin Abdul Ghani,"Menteri Pelaburan, Perdagangan dan Industri",Titiwangsa,Ahli Parlimen,Hadir
2026-03-03,22,Puan Fadhlina binti Sidek,Menteri Pendidikan,Nibong Tebal,Ahli Parlimen,Hadir
2026-03-03,23,Dato’ Sri Hajah Nancy Shukri,"Menteri Pembangunan Wanita, Keluarga dan Masyarakat",Santubong,Ahli Parlimen,Hadir
2026-03-03,24,Tuan Sim Chee Keong,Menteri Pembangunan Usahawan dan Koperasi,Bukit Mertajam,Ahli Parlimen,Hadir
2026-03-03,25,Dato' Sri Arthur Joseph Kurup,Menteri Sumber Asli dan Kelestarian Alam,Pensiangan,Ahli Parlimen,Hadir
2026-03-03,26,Datuk Seri Dr. Noraini binti Ahmad,Menteri Perladangan dan Komoditi,Parit Sulong,Ahli Parlimen,Hadir
2026-03-03,27,Datuk Seri Dr. Haji Ahmad bin Haji Maslan,Timbalan Menteri Kerja Raya,Pontian,Ahli Parlimen,Hadir
2026-03-03,28,Datuk Haji Hasbi bin Haji Habibollah,Timbalan Menteri Pengangkutan,Limbang,Ahli Parlimen,Hadir
2026-03-03,29,Datuk Hajah Rubiah binti Haji Wang,Timbalan Menteri Kemajuan Desa dan Wilayah,Kota Samarahan,Ahli Parlimen,Hadir
2026-03-03,30,Dato Hajjah Hanifah Hajar Taib,Timbalan Menteri Kesihatan,Mukah,Ahli Parlimen,Hadir
2026-03-03,31,Tuan Liew Chin Tong,Timbalan Menteri Kewangan,Iskandar Puteri,Ahli Parlimen,Hadir
2026-03-03,32,Dato' Dr. Mohammad Yusof bin Apdal,"Timbalan Menteri Sains, Teknologi dan Inovasi",Lahad Datu,Ahli Parlimen,Hadir
2026-03-03,33,Dato' Sri Huang Tiong Sii,Timbalan Menteri Perladangan dan Komoditi,Sarikei,Ahli Parlimen,Hadir
2026-03-03,34,Datuk Hajah Aiman Athirah binti Sabu,Timbalan Menteri Perumahan dan Kerajaan Tempatan,Sepang,Ahli Parlimen,Hadir
2026-03-03,35,Puan Teo Nie Ching,Timbalan Menteri Komunikasi,Kulai,Ahli Parlimen,Hadir
2026-03-03,36,Puan Lim Hui Ying,"Timbalan Menteri Pembangunan Wanita, Kelurga dan Masyarakat",Tanjong,Ahli Parlimen,Hadir
2026-03-03,37,Tuan Adam Adli bin Abd Halim,Timbalan Menteri Pendidikan Tinggi,Hang Tuah Jaya,Ahli Parlimen,Hadir
2026-03-03,38,Tuan M. Kulasegaran a/l V.Murugeson,Timbalan Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),Ipoh Barat,Ahli Parlimen,Hadir
2026-03-03,39,Dato Lukanisman bin Awang Sauni,Timbalan Menteri Luar Negeri,Sibuti,Ahli Parlimen,Hadir
2026-03-03,40,Tuan Wong Kah Woh,Timbalan Menteri Pendidikan,Taiping,Ahli Parlimen,Hadir
2026-03-03,41,Tuan Sim Tze Tzin,"Timbalan Menteri Pelaburan, Perdagangan dan Industri",Bayan Baru,Ahli Parlimen,Hadir
